label,unit
'% per volume','percent_per_cubicMeter'
'%','percent'
'1/S','inverseSecond'
'100*ft','hundredsOfFeet'
'c','celsius'
'C','celsius'
'cm','centimeter'
'dam','decameter'
'DAM','decameter'
'dbz','decibelsOfZ'
'dbZ','decibelsOfZ'
'dBZ','decibelsOfZ'
'deg C','celsius'
'deg true','degree'
'deg','degree'
'DEG','degree'
'DEG|M','scalar'
'degC','celsius'
'degK','kelvin'
'dobson','dobson'
'ft','foot'
'g','gram'
'g/g','gram_per_gram'
'g/kg','gram_per_kilogram'
'g/s','gram_per_second'
'HEURE','hour'
'heures','hour'
'hpa','hectoPascal'
'hPa','hectoPascal'
'hPA','hectoPascal'
'inconnue','scalar'
'J kg-1','specificEnergy'
'J.M-2','joule_per_squareMeter'
'J/kg','specificEnergy'
'J/KG','specificEnergy'
'J/m2','joule_per_squareMeter'
'J/M2','joule_per_squareMeter'
'J/M3/K','joule_per_cubicMeter_per_kelvin'
'Jkg-1','specificEnergy'
'K m-2 J-1','kelvin_squareMeter_per_joule'
'k','kelvin'
'K','kelvin'
'k/day','kelvin_per_day'
'k/s','kelvin_per_second'
'kg m-2 s-1','kilogram_per_squareMeter_per_second'
'kg.m-2','kilogram_per_squareMeter'
'kg/(m2*s)','percent'
'kg/g','kilogram_per_gram'
'kg/kg','kilogram_per_kilogram'
'KG/KG','kilogram_per_kilogram'
'kg/m2','kilogram_per_squareMeter'
'Kg/m2','kilogram_per_squareMeter'
'KG/M2','kilogram_per_squareMeter'
'kg/m2/s','kilogram_per_squareMeter_per_second'
'kg/m3','massDensity'
'KG/M3','massDensity'
'km','kilometer'
'knots/noeuds','knot'
'KPa','kilopascal'
'kt*h','knotHour'
'kts','knot'
'ln(kg/kg)','scalar'
'log(m)','meter'
'm agl','meter'
'm-1','inverseMeter'
'm-2/s','squareMeter_per_second'
'M-2/S','squareMeter_per_second'
'm-3','inverseCubicMeter'
'm','meter'
'M','meter'
'm/s','meter_per_second'
'M/S','meter_per_second'
'M/S/DAY','meter_per_second_per_day'
'm/s2','meters_per_secondSquared'
'm^3/m^3','percent'
'm2.s-2','squareMeter_per_secondSquared'
'm2','squareMeter'
'm2/m2','squareMeter_per_squareMeter'
'm2/s','squareMeter_per_second'
'M2/S','squareMeter_per_second'
'm2/s2','squareMeter_per_secondSquared'
'M2/S2','squareMeter_per_secondSquared'
'M2/S3','squareMeter_per_cubicSecond'
'm3/m3','cubicMeter_per_cubicMeter'
'M3/M3','cubicMeter_per_cubicMeter'
'mb','millibar'
'micrograms/M3','microgram_per_cubicMeter'
'mm','millimeter'
'MM','millimeter'
'mm/mm','percent'
'N/m','newtonMeter'
'nil','scalar'
'NIL','scalar'
'no units','scalar'
'noeuds','knot'
'Pa s','pascalSecond'
'Pa','pascal'
'PA','pascal'
'PA*S','pascalSecond'
'pa/s','pascal_per_second'
'pieds','foot'
'PIEDS','foot'
'ppb','parts_per_billion'
'PPB','parts_per_billion'
's m-1','second_per_meter'
's-1','inverseSecond'
'S-1','inverseSecond'
's-2','inverseSquareSecond'
's','second'
's/m','second_per_meter'
'scalar','scalar'
'sec','second'
'ug/g','microgram_per_gram'
'ug/kg','microgram_per_kilogram'
'ug/m3','microgram_per_cubicMeter'
'w.m-2.k-1','watt_per_squareMeterKelvin'
'w/m2','watt_per_squareMeter'
'W/m2','watt_per_squareMeter'
'W/M2','watt_per_squareMeter'
